Epoch,Training MSE,Validation MSE
0,0.2071413248777389,0.2335624396800995
1,0.1737036108970642,0.2222624719142913
2,0.1662946045398712,0.2110560238361358
3,0.161170482635498,0.1991458535194397
4,0.1565978527069091,0.1980635374784469
5,0.1529636532068252,0.1975886970758438
6,0.1490548700094223,0.1887120306491851
7,0.146104633808136,0.1904414445161819
8,0.1424792855978012,0.1990147531032562
9,0.1398533135652542,0.1934545934200287
10,0.1370411068201065,0.1981173753738403
11,0.134707510471344,0.1946134269237518
12,0.1316981613636016,0.2016913741827011
13,0.1292229443788528,0.198852002620697
14,0.126560166478157,0.2112113237380981
15,0.1243270710110664,0.2141349762678146
16,0.1225167587399482,0.2095897346735
17,0.1157096475362777,0.2005002051591873
18,0.1111048236489296,0.1985794454813003
19,0.1092080250382423,0.1976072192192077
20,0.1075028851628303,0.1952473670244217
21,0.1065682917833328,0.1971202939748764
22,0.1055919229984283,0.1950612813234329
23,0.1043735668063163,0.1990155428647995
24,0.103011280298233,0.197963997721672
25,0.1022978797554969,0.1979050487279892
26,0.1012025773525238,0.2004847526550293
27,0.1000218018889427,0.2018745839595794
28,0.099122054874897,0.2011657804250717
29,0.0989813357591629,0.2006218135356903
30,0.0990104079246521,0.2005673348903656
31,0.0990343540906906,0.2002858817577362
32,0.0986668840050697,0.2008774131536483
33,0.0988340079784393,0.2010184377431869
34,0.0987304970622062,0.2009500861167907
35,0.0986282378435134,0.2016424685716629
36,0.0982377007603645,0.2008911967277526
37,0.0982032194733619,0.2007055133581161
38,0.097888208925724,0.2005728185176849
39,0.098175011575222,0.2016738951206207
40,0.0978400260210037,0.2003641575574875
41,0.0979789867997169,0.2015508860349655
